day,hour,listeners,pageviews,host,showName,slug,archive_slug,description
3,8,20,20,,Classics,CL,CL_40600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
3,9,21,42,,Jazz,JAZZ,JAZZ_40900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
3,10,20,53,,Jazz,JAZZ,JAZZ_40900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
3,11,21,33,,Jazz,JAZZ,JAZZ_40900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
3,12,22,64,,Just a Bit Off Broadway,BDWY,BDWY,Showtunes and Broadway classics.
3,13,20,49,,"Rock, Rhythm, and Roll",RRR,RRR_41300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
3,14,19,26,,"Rock, Rhythm, and Roll",RRR,RRR_41300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
3,15,19,41,,"Rock, Rhythm, and Roll",RRR,RRR_41300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
3,16,17,23,,"Rock, Rhythm, and Roll",RRR,RRR_41300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
3,17,16,26,,"Rock, Rhythm, and Roll",RRR,RRR_41300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
3,18,16,56,,Pop Up Show,POP,POP,Each month we feature a brand new pop up show!
3,19,17,76,,Sci-Fi Lab,SCFI,SCFI,"The Sci Fi Lab discusses all the best in science fiction, from movies and television to literature and actual science."
3,20,18,29,,54-46,FFFS,FFFS,"The best selection of reggae, ska, and other good stuff to be found. The chillest music around every week, along with contests when available. Tune in and as always, feel free to request any skanky goodness you please!"
3,21,18,45,,WREKroom Renaissance,WRR,WRR,"It has great new music mixed live by DJs, interviews with artists, hip-hop news and information on events."
3,22,21,16,,WREKroom Renaissance,WRR,WRR,"It has great new music mixed live by DJs, interviews with artists, hip-hop news and information on events."
3,23,22,24,,The Electric Boogaloo,EB,EB,"Throughout the ages, many have sought to attain the conscious spiritual levels required to channel such a program of harmonious bliss. Healing, personal growth, and funkentelechy. Join the mass mediation upon which world healing levels are dependent. It's a funk show, dammit! Just sit back and relax as we do it to you in 3-D."
4,0,25,17,,Atmospherics,ATM,ATM_50000,"Ambient, drone; spaced-out textures for deep meditation."
4,1,25,39,,Atmospherics,ATM,ATM_50000,"Ambient, drone; spaced-out textures for deep meditation."
4,2,16,19,,Atmospherics,ATM,ATM_50000,"Ambient, drone; spaced-out textures for deep meditation."
4,3,20,19,,Overnight Alternatives,OA,OA_50300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
4,4,22,8,,Overnight Alternatives,OA,OA_50300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
4,5,22,5,,Overnight Alternatives,OA,OA_50300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
4,6,21,6,,Classics,CL,CL_50600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
4,7,22,14,,Classics,CL,CL_50600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
4,8,19,22,,Classics,CL,CL_50600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
4,9,20,41,,Jazz,JAZZ,JAZZ,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
4,10,17,21,,Jazz,JAZZ,JAZZ,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
4,11,23,46,,Jazz,JAZZ,JAZZ,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
4,12,22,29,,Lost in the Stacks,LITS,LITS,"The one and only Research Library Rock'n'Roll show! Ameet and Charlie from the Georgia Tech Library pick a theme and free-associate an hour of music, interviews, and library talk every Friday for lunch. You'll hear indie rock, pop rock, alt rock, New Wave, and the occasional oddity in between interviews with students, faculty, and librarians."
4,13,21,74,,"Rock, Rhythm, and Roll",RRR,RRR_51300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
4,14,18,66,,"Rock, Rhythm, and Roll",RRR,RRR_51300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
4,15,17,37,,"Rock, Rhythm, and Roll",RRR,RRR_51300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
4,16,17,49,,"Rock, Rhythm, and Roll",RRR,RRR_51300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
4,17,16,20,,Country Classics,CC,CC,"Joe Bussard's Country Music Classics show covers rare country, folk, bluegrass, and country blues from the first half of the century. Drawing from his extensive collection of vintage 78 rpm records, Joe not only plays these old time classics, but provides very knowledgeable commentary about their origins and the artists themselves. More quality, diverse music every Friday."
4,18,17,23,,Friday Night Fish Fry,FNFF,FNFF,"Ready to party when you get off of work on Friday evening after a long week? Instead of listening to the top 40, listen to music you can really boogie to, the blues. The Friday Night Fish Fry brings you the best selections of blues every Friday evening. The Friday Night Fish Fry Crew will serve up cuts from Robert Johnson, Blind Willie McTell, John Lee Hooker, Muddy Waters, RL Burnside, The Black Keys and many more. Also, listen in for special live performances from local Atlanta artists that will have you cuttin' a rug in no time."
4,19,17,29,,Friday Night Fish Fry,FNFF,FNFF,"Ready to party when you get off of work on Friday evening after a long week? Instead of listening to the top 40, listen to music you can really boogie to, the blues. The Friday Night Fish Fry brings you the best selections of blues every Friday evening. The Friday Night Fish Fry Crew will serve up cuts from Robert Johnson, Blind Willie McTell, John Lee Hooker, Muddy Waters, RL Burnside, The Black Keys and many more. Also, listen in for special live performances from local Atlanta artists that will have you cuttin' a rug in no time."
4,20,19,109,,Stonehenge,SH,SH,"Real Classic Rock that you don't hear anywhere else on the radio. Live every Friday on WREK 91.1 FM Atlanta, GA, or streaming live and archived throughout the week at www.wrek.org."
4,21,21,38,,Stonehenge,SH,SH,"Real Classic Rock that you don't hear anywhere else on the radio. Live every Friday on WREK 91.1 FM Atlanta, GA, or streaming live and archived throughout the week at www.wrek.org."
4,22,22,36,,Stonehenge,SH,SH,"Real Classic Rock that you don't hear anywhere else on the radio. Live every Friday on WREK 91.1 FM Atlanta, GA, or streaming live and archived throughout the week at www.wrek.org."
4,23,22,50,,Stonehenge,SH,SH,"Real Classic Rock that you don't hear anywhere else on the radio. Live every Friday on WREK 91.1 FM Atlanta, GA, or streaming live and archived throughout the week at www.wrek.org."
5,0,25,36,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,1,23,6,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,2,19,16,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,3,22,9,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,4,23,4,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,5,22,13,,WREKage,WRKG,WRKG,WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.
5,6,25,12,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,7,44,14,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,8,29,16,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,9,30,34,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,10,34,32,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,11,42,27,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,12,47,40,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,13,48,32,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,14,34,81,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
5,15,29,51,,Weekend Cornucopia,WC,WC_60600,"A weekend full of diverse music from all over the world: folk and indigenous (""world"") musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that's simply unclassifiable."
